Date,Open_amzn,High_amzn,Low_amzn,Close_amzn,Adj_Close_amzn,Volume_amzn,Open_tesla,High_tesla,Low_tesla,Close_tesla,Adj_Close_tesla,Volume_tesla,Open_apple,High_apple,Low_apple,Close_apple,Adj_Close_apple,Volume_apple,Open_facebook,High_facebook,Low_facebook,Close_facebook,Adj_Close_facebook,Volume_facebook,Open_microsoft,High_microsoft,Low_microsoft,Close_microsoft,Adj_Close_microsoft,Volume_microsoft
2018-12-31,1510.800048828125,1520.760009765625,1487.0,1501.969970703125,1501.969970703125,6954500,337.7900085449219,339.2099914550781,325.260009765625,332.79998779296875,332.79998779296875,6302300,158.52999877929688,159.36000061035156,156.47999572753906,157.74000549316406,154.34027099609375,35003500,134.4499969482422,134.63999938964844,129.9499969482422,131.08999633789062,131.08999633789062,24625300,101.29000091552734,102.4000015258789,100.44000244140625,101.56999969482422,99.54019165039062,33173800
2019-01-02,1465.199951171875,1553.3599853515625,1460.9300537109375,1539.1300048828125,1539.1300048828125,7983100,306.1000061035156,315.1300048828125,298.79998779296875,310.1199951171875,310.1199951171875,11658600,154.88999938964844,158.85000610351562,154.22999572753906,157.9199981689453,154.51638793945312,37039700,128.99000549316406,137.50999450683594,128.55999755859375,135.67999267578125,135.67999267578125,28146200,99.55000305175781,101.75,98.94000244140625,101.12000274658203,99.09918975830078,35329300
2019-01-03,1520.010009765625,1538.0,1497.1099853515625,1500.280029296875,1500.280029296875,6975600,307.0,309.3999938964844,297.3800048828125,300.3599853515625,300.3599853515625,6965200,143.97999572753906,145.72000122070312,142.0,142.19000244140625,139.1254119873047,91312200,134.69000244140625,137.1699981689453,131.1199951171875,131.74000549316406,131.74000549316406,22717900,100.0999984741211,100.19000244140625,97.19999694824219,97.4000015258789,95.45352935791016,42579100
2019-01-04,1530.0,1594.0,1518.31005859375,1575.3900146484375,1575.3900146484375,9182600,306.0,318.0,302.7300109863281,317.69000244140625,317.69000244140625,7394100,144.52999877929688,148.5500030517578,143.8000030517578,148.25999450683594,145.0645751953125,58607100,134.00999450683594,138.0,133.75,137.9499969482422,137.9499969482422,29002100,99.72000122070312,102.51000213623047,98.93000030517578,101.93000030517578,99.89300537109375,44060600
2019-01-07,1602.31005859375,1634.56005859375,1589.18994140625,1629.510009765625,1629.510009765625,7993200,321.7200012207031,336.739990234375,317.75,334.9599914550781,334.9599914550781,7551200,148.6999969482422,148.8300018310547,145.89999389648438,147.92999267578125,144.74171447753906,54777800,137.55999755859375,138.8699951171875,135.91000366210938,138.0500030517578,138.0500030517578,20089300,101.63999938964844,103.2699966430664,100.9800033569336,102.05999755859375,100.02040100097656,35656100
2019-01-08,1664.68994140625,1676.6099853515625,1616.6099853515625,1656.5799560546875,1656.5799560546875,8881400,341.9599914550781,344.010009765625,327.0199890136719,335.3500061035156,335.3500061035156,7008500,149.55999755859375,151.82000732421875,148.52000427246094,150.75,147.50091552734375,41025300,139.88999938964844,143.13999938964844,139.5399932861328,142.52999877929688,142.52999877929688,26263800,103.04000091552734,103.97000122070312,101.70999908447266,102.80000305175781,100.74561309814453,31514400
2019-01-09,1652.97998046875,1667.800048828125,1641.4000244140625,1659.4200439453125,1659.4200439453125,6348800,335.5,343.5,331.4700012207031,338.5299987792969,338.5299987792969,5432900,151.2899932861328,154.52999877929688,149.6300048828125,153.30999755859375,150.0057373046875,45099100,142.9499969482422,144.6999969482422,141.27000427246094,144.22999572753906,144.22999572753906,22205900,103.86000061035156,104.87999725341797,103.23999786376953,104.2699966430664,102.18622589111328,32280800
2019-01-10,1641.010009765625,1663.25,1621.6199951171875,1656.219970703125,1656.219970703125,6507700,334.3999938964844,345.3900146484375,331.7900085449219,344.9700012207031,344.9700012207031,6056400,152.5,153.97000122070312,150.86000061035156,153.8000030517578,150.48519897460938,35780700,143.0800018310547,144.55999755859375,140.83999633789062,144.1999969482422,144.1999969482422,16125000,103.22000122070312,103.75,102.37999725341797,103.5999984741211,101.52963256835938,30067600
2019-01-11,1640.550048828125,1660.2900390625,1636.219970703125,1640.56005859375,1640.56005859375,4686200,342.0899963378906,348.4100036621094,338.7699890136719,347.260009765625,347.260009765625,5039100,152.8800048828125,153.6999969482422,151.50999450683594,152.2899932861328,149.00772094726562,27023200,143.14999389648438,145.36000061035156,142.57000732421875,143.8000030517578,143.8000030517578,12908000,103.19000244140625,103.44000244140625,101.63999938964844,102.80000305175781,100.74561309814453,28314200
2019-01-14,1615.0,1648.199951171875,1595.1500244140625,1617.2099609375,1617.2099609375,6005900,342.3800048828125,342.5,334.0,334.3999938964844,334.3999938964844,5247300,150.85000610351562,151.27000427246094,149.22000122070312,150.0,146.76708984375,32439200,142.0,146.57000732421875,141.27000427246094,145.38999938964844,145.38999938964844,20520300,101.9000015258789,102.87000274658203,101.26000213623047,102.05000305175781,100.01060485839844,28437100
2019-01-15,1632.0,1675.1600341796875,1626.010009765625,1674.56005859375,1674.56005859375,5998500,335.0,348.79998779296875,334.5,344.42999267578125,344.42999267578125,6056600,150.27000427246094,153.38999938964844,150.0500030517578,153.07000732421875,149.77093505859375,28710900,146.00999450683594,150.67999267578125,145.99000549316406,148.9499969482422,148.9499969482422,24069000,102.51000213623047,105.05000305175781,101.87999725341797,105.01000213623047,102.91145324707031,31587600
2019-01-16,1684.219970703125,1705.0,1675.8800048828125,1683.780029296875,1683.780029296875,6366900,344.7799987792969,352.0,343.5,346.04998779296875,346.04998779296875,4691700,153.0800018310547,155.8800048828125,153.0,154.94000244140625,151.6006317138672,30569700,149.0,149.64999389648438,147.0,147.5399932861328,147.5399932861328,18025700,105.26000213623047,106.26000213623047,104.95999908447266,105.37999725341797,103.27405548095703,29853900
2019-01-17,1680.0,1700.1700439453125,1677.5,1693.219970703125,1693.219970703125,4208900,346.2099914550781,351.5,344.1499938964844,347.30999755859375,347.30999755859375,3676700,154.1999969482422,157.66000366210938,153.25999450683594,155.86000061035156,152.5007781982422,29821200,146.9499969482422,149.0,146.5,148.3000030517578,148.3000030517578,15787900,105.0,106.62999725341797,104.76000213623047,106.12000274658203,103.99927520751953,28393000
